Group,Contrast,Correlation,Energy,Homogeneity,LBP_Entropy,Gabor_Mean,Wavelet_Energy
Generic,1146.129718440594,0.8771886220193553,0.010334340149061951,0.1264489488023049,4.7961914613239784,64.70155477759472,12.25817228618421
Generic,466.090387148712,0.9460631043800628,0.01442435713016153,0.10866657494803635,4.436006813010392,38.43643034462617,7.566764018691589
Generic,1968.7819773706894,0.7875442979009594,0.018972363584407546,0.09119033251260215,4.76876272978147,83.17759927621283,15.1541455078125
Generic,1315.616572745902,0.8415896657235562,0.010020241542904951,0.06276374274128822,4.8316706634108435,80.88145808995327,15.1546875
Generic,1196.2212220893143,0.7908172455673814,0.00826505275081382,0.06240454635660329,4.9929490332389115,77.13981140525478,11.695033837579619
Generic,1383.3671654929576,0.8577295271116268,0.12892460474976364,0.23666095680222055,4.459546639778684,62.723623046875,12.7576904296875
Generic,1308.0856562989045,0.74326956603194,0.010066526629731832,0.09649025870320568,4.808509128711917,57.74344482421875,12.922430419921875
Generic,2377.247956877065,0.6714575509451496,0.006662402720785123,0.056386357653001797,4.730086360689954,77.98072916666666,20.06293728668942
Generic,1930.3549974546072,0.7326570809649628,0.01743955659628334,0.0657996321265414,4.647382300603196,81.7979803141136,20.044222508591066
Generic,1027.5040333073118,0.6683386266064665,0.010638062466574076,0.06586953851115539,4.778524953909186,73.14716774004684,13.096166764018692
Generic,539.571324599709,0.89603487487722,0.012120786732620053,0.09852391224017966,5.069022358794678,65.96894104803494,7.531325054585153
Generic,1738.2408892223386,0.7671057572103642,0.007347990055147574,0.060384013286061605,4.927783476307178,86.47626302083333,15.77947265625
Generic,379.9486452483966,0.9559737250815786,0.029350204466602674,0.20267130051738144,5.0546027149988735,64.08438112745098,5.487297794117647
Generic,1333.3371803235912,0.829994913498213,0.013527251088323252,0.1025784986921534,4.684616198531796,65.698916015625,13.205729166666666
Generic,1184.7480471984777,0.7939461403503738,0.00928587623194067,0.06989548801013501,4.770476006826792,70.82401120410367,13.519753502155172
Generic,396.58709551148235,0.9374245454660171,0.014713747590777608,0.09049938282193132,4.33963473826462,35.611611328125,9.401705729166666
Generic,1283.3000322194605,0.7770213865572683,0.008764448184106152,0.062630211706861,4.865648351117378,82.79911917892157,13.935922181372549
Generic,216.87515649452274,0.9732138958046228,0.028471336573186352,0.1470208754171101,4.340345697447808,11.275533854166667,5.355260416666668
Generic,244.73468552839114,0.9704357297004769,0.01846854865584735,0.14505337805028043,5.071701309142786,41.904210137795275,4.541946737421384
Generic,1491.6835072364975,0.8046303505440904,0.008297600858195647,0.05576074163649621,4.690041940099066,70.09879976580797,16.399525408878503
Generic,517.4683075070328,0.9298657967498977,0.015255466939272131,0.1268085425194703,4.82776635186088,40.696170465931864,7.22631875
Generic,2006.643490829346,0.744926620334323,0.008197581672886764,0.06725167830529967,4.783498535139046,86.29227458200637,16.297069068471338
Generic,1053.1025210289517,0.8847823522778597,0.01539260419625656,0.17144869668375032,4.914681450695043,65.611259765625,8.3564404296875
Generic,321.359187512711,0.936844002400477,0.16503452602993388,0.8257958874787272,2.624481203027503,16.345341740909166,0.535007251020202
Generic,1745.0519431403231,0.6815388065037808,0.0066703292438130115,0.0413543599072606,4.640018995161063,79.39096354166666,19.196848958333334
